1,Died in a previous Congress,"For the People Act of 2019
This bill addresses voter access, election integrity, election security, political spending, and ethics for the three branches of government.
Specifically, the bill expands voter registration and voting access and limits removing voters from voter rolls.
The bill provides for states to establish independent, nonpartisan redistricting commissions.
The bill also sets forth provisions related to election security, including sharing intelligence information with state election officials, protecting the security of the voter rolls, supporting states in securing their election systems, developing a national strategy to protect the security and integrity of U.S. democratic institutions, establishing in the legislative branch the National Commission to Protect United States Democratic Institutions, and other provisions to improve the cybersecurity of election systems.
This bill addresses campaign spending, including by expanding the ban on foreign nationals contributing to or spending on elections; expanding disclosure rules pertaining to organizations spending money during elections, campaign advertisements, and online platforms; and revising disclaimer requirements for political advertising.
This bill establishes an alternative campaign funding system for certain federal offices. The system involves federal matching of small contributions for qualified candidates.
This bill sets forth provisions related to ethics in all three branches of government. Specifically, the bill requires a code of ethics for federal judges and justices, prohibits Members of the House from serving on the board of a for-profit entity, expands enforcement of regulations governing foreign agents, and establishes additional conflict-of-interest and ethics provisions for federal employees and the White House.
The bill also requires candidates for President and Vice President to submit 10 years of tax returns."
2,Died in a previous Congress,"Investing in a New Vision for the Environment and Surface Transportation in America Act or the INVEST in America Act
This bill addresses provisions related to federal-aid highway, transit, highway safety, motor carrier, research, hazardous materials, and rail programs of the Department of Transportation (DOT).
Among other provisions, the bill
 extends FY2020 enacted levels through FY2021 for federal-aid highway, transit, and safety programs; reauthorizes for FY2022-FY2025 several surface transportation programs, including the federal-aid highway program, transit programs, highway safety, motor carrier safety, and rail programs; addresses climate change, including strategies to reduce the climate change impacts of the surface transportation system and conduct a vulnerability assessment to identify opportunities to enhance the resilience of the surface transportation system and ensure the efficient use of federal resources; revises Buy America procurement requirements for highways, mass transit, and rail; establishes a rebuild rural grant program to improve the safety, state of good repair, and connectivity of transportation infrastructure in rural communities; implements new safety requirements across all transportation modes; and directs DOT to establish a pilot program to demonstrate a national motor vehicle per-mile user fee to restore and maintain the long-term solvency of the Highway Trust Fund and achieve and maintain a state of good repair in the surface transportation system."
3,Died in a previous Congress,"Elijah E. Cummings Lower Drug Costs Now Act
This bill establishes several programs and requirements relating to the prices of prescription drugs, health care coverage and costs, and public health.
TITLE I--LOWERING PRICES THROUGH FAIR DRUG PRICE NEGOTIATION
The bill requires the Department of Health and Human Services (HHS) to negotiate prices for certain drugs. (Under current law, HHS may not negotiate the prices of covered drugs under the Medicare prescription drug benefit.)
Specifically, HHS must negotiate maximum prices for (1) insulin products; (2) with respect to FY2023, at least 25 single-source, brand-name drugs that do not have generic competition and that are among either the 125 drugs that account for the greatest national spending or the 125 drugs that account for the greatest spending under the Medicare prescription drug benefit and Medicare Advantage (MA); (3) beginning in FY2024, at least 50 such single-source, brand-name drugs; and (4) newly approved single-source, brand-name drugs that meet or exceed a specified price threshold and that HHS determines are likely to meet the spending criteria. The negotiated prices must be offered under Medicare and MA and may also be offered under private health insurance unless the insurer opts out.
The negotiated maximum price may not exceed (1) 120% of the average price in Australia, Canada, France, Germany, Japan, and the United Kingdom; or (2) if such information is not available, 85% of the U.S. average manufacturer price. Drug manufacturers that fail to comply with the bill's negotiation requirements are subject to civil and tax penalties.
TITLE II--MEDICARE PARTS B AND D PRESCRIPTION DRUG INFLATION REBATES
The bill also requires drug manufacturers, subject to civil penalties, to issue rebates to the Centers for Medicare & Medicaid Services (CMS) for covered drugs under Medicare that cost $100 or more and for which the average manufacturer price increases faster than inflation.
TITLE III--PART D IMPROVEMENTS AND MAXIMUM OUT-OF-POCKET CAP FOR MEDICARE BENEFICIARIES
The bill reduces the annual out-of-pocket spending threshold, and eliminates beneficiary cost-sharing above this threshold, under the Medicare prescription drug benefit. Additionally, prescription drug plan sponsors must allow certain beneficiaries to make coinsurance payments in periodic installments, in accordance with CMS requirements.
TITLE IV--DRUG PRICE TRANSPARENCY
Drug manufacturers must report, subject to civil penalties, specified information for certain drugs that cost $100 or more and that are covered under Medicare or Medicaid, based on the rate of price or spending increases. Among other things, manufacturers must report a qualifying price increase at least 30 days before the effective date of the increase; HHS must publish the information on its website the day the increase takes effect.
TITLE V--PROGRAM IMPROVEMENTS FOR MEDICARE LOW-INCOME BENEFICIARIES
The bill expands eligibility for certain premium and cost-sharing subsidies for low-income beneficiaries under the Medicare prescription drug benefit. For example, the bill (1) raises the maximum allowable income for beneficiaries to qualify, and (2) allows certain residents of U.S. territories to automatically qualify.
TITLE VI--PROVIDING FOR DENTAL, VISION, AND HEARING COVERAGE UNDER THE MEDICARE PROGRAM
The bill also expands Medicare coverage to include (1) dentures and dental and oral health services, including basic and major treatments (as determined by the CMS) as well as specified preventive and screening services; (2) hearing aids and hearing rehabilitation and treatment services; and (3) eyeglasses, contact lenses, and vision services, including routine eye examinations and contact lens fittings.
TITLE VII--NIH, FDA, AND OPIOIDS FUNDING
The bill provides additional funds for several public health programs. Among other things, the bill (1) provides specified funds for innovation projects at the National Institutes of Health through FY2030 and for innovation projects at the Food and Drug Administration through FY2029; and (2) establishes the Opioid Epidemic Response Fund to support HHS programs and initiatives, including the State Opioid Response Grant Program.
Additionally, HHS must take a series of actions relating to health care administrative costs. Specifically, HHS must develop a strategy and take associated action to reduce unnecessary costs and administrative burdens in the health care system, including Medicare, Medicaid, and the private health-insurance market, by at least half over a period of 10 years. HHS must also award grants so that states may establish commissions targeting such costs.
TITLE VIII--MISCELLANEOUS
The bill also establishes and revises several other health care programs and requirements.
For example, the bill (1) expands guaranteed issue rights with respect to Medigap policies (Medicare supplemental health-insurance policies); (2) provides specified funds for the Community Health Centers Fund through FY2025; (3) establishes grant programs to support mental health and trauma services in schools, as well as career development programs for health professionals; and (4) requires pass-through pricing models, and prohibits spread-pricing, for payment arrangements with pharmacy benefit managers under Medicaid.
Additionally, the CMS must issue regulations that require direct-to-consumer television advertisements for all covered drugs and biologics under Medicare and Medicaid to include the list price of a 30-day supply or for a typical course of treatment. (On May 10, 2019, the CMS issued a final rule titled Medicare and Medicaid Programs; Regulation to Require Drug Pricing Transparency. The rule requires direct-to-consumer television advertisements for covered drugs and biologics under Medicare and Medicaid to include the list price of a 30-day supply or for a typical course of treatment, if the list price is at least $35 per month. The rule was scheduled to take effect July 9, 2019; however, a federal court blocked implementation, citing a lack of statutory authority.)"
4,Died in a previous Congress,"Voting Rights Advancement Act of 2019
This bill establishes new criteria for determining which states and political subdivisions must obtain preclearance before changes to voting practices in these areas may take effect. (Preclearance is the process of receiving preapproval from the Department of Justice or the U.S. District Court for the District of Columbia before making legal changes that would affect voting rights.)
A state and all of its political subdivisions shall be subject to preclearance of voting practice changes for a 10-year period if (1) 15 or more voting rights violations occurred in the state during the previous 25 years; or (2) 10 or more violations occurred during the previous 25 years, at least one of which was committed by the state itself. A political subdivision as a separate unit shall also be subject to preclearance for a 10-year period if three or more voting rights violations occurred there during the previous 25 years.
A state or political subdivision that obtains a declaratory judgment that it has not used a voting practice to deny or abridge the right to vote shall be exempt from preclearance.
All jurisdictions must preclear changes to requirements for documentation to vote that make the requirements more stringent than federal requirements for voters who register by mail or state law.
The bill specifies practices jurisdictions meeting certain thresholds regarding racial minority groups, language minority groups, or minority groups on Indian land, must preclear before implementing. These practices include changes to methods of election, changes to jurisdiction boundaries, redistricting, changes to voting locations and opportunities, and changes to voter registration list maintenance.
The bill expands the circumstances under which (1) a court may retain the authority to preclear voting changes made by a state or political subdivision, or (2) the Department of Justice may assign election observers.
States and political subdivisions must notify the public of changes to voting practices.
The bill revises the circumstances under which a court must grant preliminary injunctive relief in a challenge to voting practices."
5,Died in a previous Congress,"Equality Act
This bill prohibits discrimination based on sex, sexual orientation, and gender identity in a wide variety of areas including public accommodations and facilities, education, federal funding, employment, housing, credit, and the jury system. Specifically, the bill defines and includes sex, sexual orientation, and gender identity among the prohibited categories of discrimination or segregation.
The bill expands the definition of public accommodations to include places or establishments that provide (1) exhibitions, recreation, exercise, amusement, gatherings, or displays; (2) goods, services, or programs; and (3) transportation services.
The bill allows the Department of Justice to intervene in equal protection actions in federal court on account of sexual orientation or gender identity.
Protections against discrimination based on race, color, religion, sex, sexual orientation, gender identity, or national origin shall include protections against discrimination based on (1) an association with another person who is a member of such a protected class; or (2) a perception or belief, even if inaccurate, that an individual is a member of such a protected class. The bill prohibits the Religious Freedom Restoration Act of 1993 from providing a claim, defense, or basis for challenging such protections.
The bill prohibits an individual from being denied access to a shared facility, including a restroom, a locker room, and a dressing room, that is in accordance with the individual's gender identity."
6,Died in a previous Congress,"American Dream and Promise Act of 2019
This bill cancels and prohibits removal proceedings against certain aliens and provides such aliens with a path toward permanent resident status.
The Department of Homeland Security (DHS) or the Department of Justice (DOJ) shall cancel removal proceedings against certain aliens who entered the United States as minors and grant such aliens conditional permanent residence status for 10 years. The bill imposes various qualification requirements, such as the alien being continuously physically present in the United States and being enrolled in or having completed certain educational programs. DHS shall establish streamlined procedures to apply for conditional permanent residence for aliens who received Deferred Action for Childhood Arrivals (DACA) status and were not disqualified for renewal.
DHS shall remove the conditional permanent resident status granted to such aliens, if the alien applies and meets certain requirements, such as completing certain programs at an educational institution or serving at least two years in the Uniformed Services and being discharged honorably.
DHS or DOJ shall cancel removal proceedings against certain aliens who qualified for temporary protected status or deferred enforced departure status on certain past dates (both statuses temporarily protect covered aliens from removal). For such aliens who apply and pass the required background checks, DHS shall grant permanent residence status.
DHS may not use information from applications to adjust status under this bill for immigration enforcement purposes.
DHS shall establish a grant program for nonprofit organizations that assist individuals with certain immigration-related issues."
7,Died in a previous Congress,"Paycheck Fairness Act
This bill addresses wage discrimination on the basis of sex. It amends equal pay provisions of the Fair Labor Standards Act of 1938 to (1) restrict the use of the bona fide factor defense to wage discrimination claims, (2) enhance nonretaliation prohibitions, (3) make it unlawful to require an employee to sign a contract or waiver prohibiting the employee from disclosing information about the employee's wages, and (4) increase civil penalties for violations of equal pay provisions.
The Equal Employment Opportunity Commission (EEOC) and the Office of Federal Contract Compliance Programs shall train EEOC employees and other affected parties on wage discrimination. The bill directs the Department of Labor to (1) establish and carry out a grant program for negotiation skills training programs to address pay disparities, including through outreach to women and girls; (2) conduct studies to eliminate pay disparities between men and women; (3) report on the gender pay gap in the teenage labor workforce; and (4) make available information on wage discrimination to assist the public in understanding and addressing such discrimination. The Secretary of Labor's National Award for Pay Equity in the Workplace is established for an employer who has made a substantial effort to eliminate pay disparities between men and women. The bill requires the EEOC to issue regulations for collecting from employers compensation and other employment data according to the sex, race, and ethnic identity of employees for use in enforcing laws prohibiting pay discrimination. The Bureau of Labor Statistics shall continue collecting data on women workers in the Current Employment Statistics survey. The bill sets forth prohibitions and requirements regarding the wage history of prospective employees."
8,Died in a previous Congress,"Bipartisan Background Checks Act of 2019
This bill establishes new background check requirements for firearm transfers between private parties (i.e., unlicensed individuals).
Specifically, it prohibits a firearm transfer between private parties unless a licensed gun dealer, manufacturer, or importer first takes possession of the firearm to conduct a background check.
The prohibition does not apply to certain firearm transfers, such as a gift between spouses in good faith."
9,Died in a previous Congress,"Climate Action Now Act
This bill requires the President to develop and update annually a plan for the United States to meet its nationally determined contribution under the Paris Agreement on climate change.
(Sec. 3) In addition, the bill prohibits federal funds from being used to withdraw from the agreement.
(Sec. 4) The bill outlines what must be included in the plan, including descriptions of steps to (1) cut greenhouse gas emissions by 26%-28% below 2005 levels by 2025, and (2) confirm that other parties to the agreement with major economies are fulfilling their announced contributions. The President must seek and publish comments from the public when submitting and updating the plan.
(Sec. 5) Within six months, the President must report on the effect of the Paris Agreement on clean energy job development in rural communities.
(Sec. 6) Within six months, the President must also contract with the National Academy of Sciences to report on the potential impacts of a withdrawal by the United States from the agreement on the global economic competitiveness of the U.S. economy and on U.S. workers.
(Sec. 8) Within one year, the Government Accountability Office must study and report on the impact of the plan on U.S. territories."
11,Died in a previous Congress,No summary available.
